name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
(Unknown) Clark,14,39,5,9,2,0,0,5.0,7,0.0,4.0,0.0,0.356,0.289,0.645,3,1928,1944,0.079
(Unknown) Cross,20,66,13,14,1,2,0,4.0,5,0.0,1.0,0.0,0.268,0.288,0.556,1,1932,1932,0.212
(Unknown) Goldie,15,36,5,8,3,0,0,4.0,3,0.0,2.0,0.0,1.0190000000000001,1.058,2.077,3,1926,1928,0.2793333333333334
(Unknown) Howard,11,31,4,8,1,0,0,4.0,1,0.0,0.0,0.0,0.571,0.5860000000000001,1.157,2,1921,1946,0.265
(Unknown) Jones,16,44,4,11,0,0,0,2.2222222222222223,2,1.0,1.25,0.0,2.15,1.861,4.011,10,1884,1948,0.1861
(Unknown) Robinson,19,41,2,5,1,0,0,3.0,0,0.0,0.0,0.0,0.629,0.494,1.123,4,1922,1944,0.1155
(Unknown) Scott,14,57,10,12,1,1,1,0.0,2,0.0,0.0,0.0,0.0,0.34,0.0,2,1884,1938,0.113
(Unknown) Smith,18,53,4,9,0,0,0,3.375,2,0.0,0.0,0.0,2.570625,2.3810000000000002,5.02425,9,1884,1938,0.2645555555555556
(Unknown) Tompkins,11,37,3,7,1,0,0,3.0,3,0.0,1.0,0.0,0.286,0.216,0.502,1,1920,1920,0.189
(Unknown) Valdez,9,36,2,6,0,0,0,1.0,1,0.0,0.0,0.0,0.189,0.167,0.356,1,1932,1932,0.167
(Unknown) Whitlock,12,39,2,9,1,0,0,0.0,2,0.0,0.0,0.0,0.268,0.256,0.524,1,1926,1926,0.231
(Unknown) Wills,9,36,3,5,3,0,0,0.0,0,0.0,0.0,0.0,0.139,0.222,0.361,1,1884,1884,0.139
A.J. Ellis,672,1948,194,466,82,3,44,229.0,280,414.0,2.0,4.0,3.201,3.2479999999999998,6.449,11,2008,2018,0.20763636363636362
A.J. Hinch,350,953,104,209,28,3,32,112.0,71,214.0,13.0,6.0,1.865,2.334,4.199,7,1998,2004,0.21242857142857144
A.J. Pierzynski,2059,7290,807,2043,407,24,188,909.0,308,895.0,15.0,23.0,6.116,7.763,13.879,19,1998,2016,0.2803157894736842
AJ Pollock,1087,3787,575,1032,225,32,145,485.0,291,736.0,122.0,29.0,3.832,5.412,9.244,12,2012,2023,0.2624166666666667
AJ Reed,62,175,12,26,3,0,4,12.0,22,71.0,0.0,0.0,0.474,0.46699999999999997,0.9410000000000001,4,2016,2019,0.07500000000000001
Aaron Altherr,359,1016,142,222,54,10,37,150.0,110,332.0,21.0,10.0,1.409,1.79,3.199,6,2014,2019,0.16216666666666665
Aaron Boone,1152,3871,519,1017,216,17,126,555.0,303,707.0,107.0,30.0,3.674,4.52,8.194,12,1997,2009,0.24291666666666667
Aaron Clapp,36,146,24,39,9,3,0,18.0,6,10.0,0.0,0.0,0.0,0.37,0.0,1,1879,1879,0.267
Aaron Cunningham,222,452,47,99,31,3,7,51.0,34,110.0,4.0,6.0,1.354,1.676,3.03,5,2008,2012,0.20839999999999997
Aaron Guiel,307,970,151,239,58,0,35,128.0,83,218.0,8.0,12.0,1.5979999999999999,2.02,3.6180000000000003,5,2002,2006,0.2404
Aaron Hicks,981,3135,469,724,120,15,109,392.0,461,793.0,71.0,26.0,3.845,4.367,8.212,12,2013,2024,0.22141666666666668
Aaron Hill,1559,5646,736,1501,325,22,162,695.0,443,847.0,74.0,35.0,4.132,5.149,9.281,13,2005,2017,0.2551538461538462
Aaron Holbert,23,30,3,6,3,0,0,2.0,3,8.0,1.0,0.0,0.29,0.333,0.623,2,1996,2005,0.111
Aaron Judge,993,3564,736,1026,173,5,315,716.0,693,1209.0,53.0,16.0,3.456,5.138,8.594,9,2016,2024,0.27299999999999996
Aaron Ledesma,284,754,94,223,38,4,2,76.0,44,111.0,11.0,8.0,1.724,1.731,3.455,5,1995,2000,0.28159999999999996
Aaron Miles,932,2827,347,793,110,18,19,229.0,162,294.0,30.0,18.0,2.824,3.304,6.128,9,2003,2011,0.2797777777777778
Aaron Pointer,40,101,11,21,5,0,2,15.0,18,33.0,2.0,1.0,0.96,0.9570000000000001,1.917,3,1963,1967,0.2343333333333333
Aaron Robinson,610,1839,208,478,74,11,61,272.0,337,194.0,0.0,6.0,2.607,2.85,5.457,8,1943,1951,0.225
Aaron Rowand,1358,4374,613,1193,267,18,136,536.0,261,914.0,67.0,30.0,3.608,4.7219999999999995,8.33,11,2001,2011,0.2712727272727273
Aaron Schunk,39,94,14,22,3,0,2,7.0,4,31.0,0.0,1.0,0.265,0.33,0.595,1,2024,2024,0.234
Aaron Ward,1062,3611,457,966,158,54,50,446.0,339,457.0,36.0,50.666666666666664,3.552,3.746,7.298,12,1917,1928,0.23016666666666666
Ab Wright,139,355,37,88,20,1,9,53.0,28,48.0,2.0,2.0,0.617,0.766,1.383,2,1935,1944,0.247
Abbie Johnson,73,248,26,59,8,2,0,37.0,17,6.0,2.0,0.0,0.567,0.5680000000000001,1.135,2,1896,1897,0.236
Abner Dalrymple,951,4172,813,1202,217,81,43,407.0,204,359.0,174.0,0.0,3.612,4.835,7.788,12,1878,1891,0.28750000000000003
Abner Powell,48,191,36,54,10,5,0,0.0,3,0.0,0.0,0.0,0.0,0.387,0.0,1,1884,1884,0.283
Abraham Almonte,463,1236,169,288,73,13,24,118.0,119,327.0,27.0,9.0,3.171,3.767,6.938,11,2013,2023,0.21281818181818182
Abraham Toro,365,1179,145,259,47,4,34,134.0,87,228.0,14.0,7.0,1.911,2.486,4.397,6,2019,2024,0.24583333333333335
Abraham M. Nunez,136,302,42,63,10,1,6,35.0,34,74.0,1.0,4.0,0.415,0.437,0.852,2,2002,2004,0.16599999999999998
Abraham O. Nunez,1030,2486,286,601,88,19,18,209.0,250,447.0,38.0,16.0,3.401,3.426,6.827,12,1997,2008,0.21383333333333332
Ace Parker,94,207,20,37,5,1,2,25.0,14,33.0,1.0,2.0,0.44599999999999995,0.47600000000000003,0.9219999999999999,2,1937,1938,0.17350000000000002
Ace Stewart,97,365,52,88,8,10,8,76.0,39,40.0,14.0,0.0,0.314,0.384,0.698,1,1895,1895,0.241
Adael Amador,10,35,1,6,1,0,0,0.0,1,6.0,1.0,0.0,0.194,0.2,0.394,1,2024,2024,0.171
Adalberto Mondesi,358,1273,180,311,54,20,38,157.0,60,412.0,133.0,26.0,1.811,2.456,4.267,7,2016,2022,0.21714285714285714
Adam Comorosky,813,2787,404,795,134,51,28,417.0,214,158.0,57.0,0.0,3.234,3.785,7.019,10,1926,1935,0.2745
Adam DeBus,38,131,9,30,5,4,0,7.0,7,14.0,2.0,0.0,0.279,0.328,0.607,1,1917,1917,0.229
Adam Dunn,2001,6883,1097,1631,334,10,462,1168.0,1317,2379.0,63.0,25.0,5.073,6.83,11.903,14,2001,2014,0.2357857142857143
Adam Duvall,1026,3393,456,771,171,15,195,566.0,247,1074.0,22.0,12.0,3.133,5.014,8.147,11,2014,2024,0.22454545454545452
Adam Eaton,915,3439,566,950,167,46,66,319.0,346,679.0,87.0,32.0,3.5,4.044,7.5440000000000005,10,2012,2021,0.2686
Adam Engel,528,1419,173,318,65,11,30,123.0,76,452.0,47.0,18.0,1.756,2.284,4.04,7,2017,2023,0.20199999999999999
Adam Everett,880,2758,334,668,135,15,40,283.0,174,455.0,67.0,21.0,2.859,3.154,6.013,11,2001,2011,0.20854545454545456
Adam Frazier,1066,3425,468,903,180,28,60,339.0,282,515.0,55.0,32.0,2.926,3.459,6.385,9,2016,2024,0.2607777777777778
Adam Haseley,158,379,49,98,22,0,5,43.0,27,96.0,5.0,0.0,1.4769999999999999,1.492,2.969,5,2019,2023,0.23879999999999998
Adam Hyzdu,221,358,54,82,18,0,19,61.0,41,98.0,1.0,1.0,2.193,3.215,5.4079999999999995,7,2000,2006,0.2541428571428571
Adam Jones,1823,7009,963,1939,336,29,282,945.0,340,1395.0,97.0,35.0,4.356,6.152,10.508000000000001,14,2006,2019,0.2704285714285714
