name,pic_url,birth,현재_나이,예측_은퇴_나이,predict_year,last_season,커리어_시즌수
강민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69064.jpg,1999,26,27.99,2027,2025,3
강민호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74540.jpg,1985,40,40,2025,2025,22
강백호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68050.jpg,1999,26,28.49,2027,2025,8
강성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54567.jpg,2005,20,28.22,2033,2025,2
강승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63123.jpg,1994,31,31,2025,2025,9
강진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62925.jpg,1993,32,32,2025,2025,10
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,24,28.21,2029,2025,4
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,23,28.37,2030,2025,4
고승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69517.jpg,2000,25,28.46,2028,2025,5
고영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54344.jpg,2001,24,28.38,2029,2025,2
구본혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69100.jpg,1997,28,28.38,2025,2025,5
구승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63543.jpg,1990,35,35.91,2026,2025,5
구자욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62404.jpg,1993,32,32,2025,2025,11
권광민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52769.jpg,1997,28,28.21,2025,2025,4
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,27,28.26,2026,2025,4
권혁빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55371.jpg,2005,20,28.15,2033,2025,1
권희동,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63963.jpg,1990,35,35,2025,2025,12
김건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg,2002,23,29.34,2031,2025,1
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,29,29,2025,2025,3
김건희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53312.jpg,2004,21,28.42,2032,2025,3
김규성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66614.jpg,1997,28,28.36,2025,2025,6
김기연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66112.jpg,1997,28,28.21,2025,2025,5
김대유,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60337.jpg,1991,34,34,2025,2025,1
김도영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52605.jpg,2003,22,28.48,2031,2025,4
김동준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52267.jpg,2002,23,28.13,2030,2025,1
김동헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53344.jpg,2004,21,28.39,2032,2025,3
김동혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52504.jpg,2000,25,28.14,2028,2025,3
김민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53554.jpg,2004,21,28.43,2032,2025,3
김민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77564.jpg,1988,37,37,2025,2025,19
김민수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67504.jpg,1998,27,28.13,2026,2025,8
김민혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64004.jpg,1996,29,29,2025,2025,16
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65269.jpg,2003,22,28.01,2031,2025,3
김상수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,1990,35,35,2025,2025,17
김서현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79402.jpg,2004,21,29.34,2033,2025,3
김석환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53754.jpg,1999,26,27.98,2027,2025,5
김선빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67610.jpg,1989,36,36,2025,2025,17
김성욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78603.jpg,1993,32,32,2025,2025,11
김성윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62934.jpg,1999,26,28.23,2027,2025,8
김성현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67449.jpg,1987,38,38,2025,2025,18
김수윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76802.jpg,1998,27,27.97,2026,2025,5
김승일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67900.jpg,2001,24,29.34,2030,2025,1
김시훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50711.jpg,1999,26,29.34,2028,2025,2
김영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68928.jpg,2005,20,29.34,2034,2025,1
김영웅,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55167.jpg,2003,22,28.45,2031,2025,4
김웅빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52430.jpg,1996,29,29,2025,2025,9
김원중,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65898.jpg,1993,32,32.1,2025,2025,6
김인태,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62528.jpg,1994,31,31,2025,2025,10
김재성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63257.jpg,1996,29,29,2025,2025,7
김재혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65132.jpg,1999,26,27.99,2027,2025,3
김재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52424.jpg,1993,32,32,2025,2025,10
김재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62332.jpg,1988,37,37,2025,2025,15
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78224.jpg,2002,23,28.43,2030,2025,5
